506
506 1280
      col_name  feature_importance_vals
39          40                 1.560054
952        953                 1.556812
639        640                 1.555024
101        102                 1.555004
1025      1026                 1.554355
231        232                 1.553719
1268      1269                 1.552041
354        355                 1.551795
969        970                 1.550607
1052      1053                 1.548261
404        405                 1.544907
148        149                 1.544154
355        356                 1.541531
1219      1220                 1.537703
844        845                 1.537110
1170      1171                 1.529777
666        667                 1.526847
1047      1048                 1.522529
1063      1064                 1.522302
125        126                 1.519031
126        127                 1.511267
913        914                 1.510639
562        563                 1.509334
1039      1040                 1.509242
112        113                 1.506442
1082      1083                 1.505120
181        182                 1.503111
865        866                 1.502348
115        116                 1.500947
59          60                 1.498688
257        258                 1.495268
934        935                 1.495111
550        551                 1.492497
984        985                 1.490613
30          31                 1.489955
779        780                 1.489027
76          77                 1.488644
617        618                 1.488427
1122      1123                 1.485693
1006      1007                 1.483812
850        851                 1.475852
693        694                 1.475837
68          69                 1.474281
96          97                 1.474076
219        220                 1.472495
353        354                 1.471816
66          67                 1.471638
35          36                 1.471331
1187      1188                 1.468938
702        703                 1.466824
1113      1114                 1.465626
237        238                 1.462103
1004      1005                 1.460181
287        288                 1.457914
1056      1057                 1.457031
559        560                 1.456070
788        789                 1.455942
983        984                 1.455189
301        302                 1.453496
676        677                 1.453489
1058      1059                 1.452847
610        611                 1.449560
1139      1140                 1.446039
833        834                 1.442054
87          88                 1.441836
717        718                 1.441076
935        936                 1.437078
166        167                 1.436721
627        628                 1.436599
226        227                 1.436156
1197      1198                 1.435910
481        482                 1.433907
756        757                 1.433770
1237      1238                 1.431069
1204      1205                 1.428859
47          48                 1.426459
185        186                 1.425059
1069      1070                 1.423667
92          93                 1.421525
225        226                 1.420670
921        922                 1.420634
417        418                 1.419236
937        938                 1.419000
370        371                 1.418353
203        204                 1.417758
667        668                 1.416044
618        619                 1.415669
711        712                 1.413006
975        976                 1.412563
141        142                 1.409398
763        764                 1.408095
722        723                 1.407729
1            2                 1.406264
175        176                 1.403997
1045      1046                 1.402672
397        398                 1.402596
423        424                 1.402531
434        435                 1.401506
22          23                 1.400936
333        334                 1.399880
842        843                 1.397409
1000      1001                 1.396883
77          78                 1.395320
162        163                 1.394784
315        316                 1.393020
473        474                 1.392966
863        864                 1.390395
339        340                 1.387311
467        468                 1.386360
1019      1020                 1.386267
733        734                 1.386102
150        151                 1.385566
524        525                 1.384964
551        552                 1.384442
303        304                 1.382543
